,Unnamed: 0,LocationDesc,20200131,20200214,20200229,20200314,20200331,20200414,20200430,20200514,20200530,20200614,20200631,20200718
0,0,Brazil,0,0,2,149,5566,19545,61925,115978,311684,352775,534417,672819
1,1,Mexico,0,0,4,37,1174,4184,13825,23371,48069,56173,79252,112824
2,2,Mauritius,0,0,0,0,143,181,8,0,3,2,4,2
3,3,Rwanda,0,0,0,1,74,59,109,44,83,212,443,514
4,4,Indonesia,0,0,0,96,1432,3311,5279,5888,10467,11804,18108,28497
5,5,Ghana,0,0,0,3,158,475,1438,3456,2540,3894,5777,9319
6,6,Turkey,0,0,0,5,13526,51580,55093,24545,19193,14297,21667,18811
7,7,Malaysia,8,11,6,213,2528,2221,1015,817,1000,634,186,125
8,8,India,1,2,0,99,1295,10090,23376,47134,99830,141815,253057,492300
